german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Freude,joy,"die Freude, -n",Diese Arbeit macht mir viel Freude.,I really enjoy this work.,,,,,,,,,,
Freund,friend,"der Freund, -e",Ich sehe meine Freunde nur am Wochenende.,I only see my friends at the weekend.,,,,,,,,,,
Freundschaft,friendship,"die Freundschaft, -en",Deine Freundschaft ist mir sehr wichtig.,Your friendship is very important to me.,,,,,,,,,,
Friede,peace,"der Friede/Frieden, -",Endlich ist hier Frieden!,Peace at last!,,,,,,,,,,
"Friseur, Friseurin",hairdresser,"der Friseur, -e 
die Friseurin, -nen (D, A) 
→ CH: Coiffeur",Du siehst toll aus! Wer ist dein Friseur?,You look great! Who is your hairdresser?,Meine Tochter will Friseurin werden.,My daughter wants to be a hairdresser.,,,,,,,,
Frisur,hairstyle,"die Frisur, -en",Du hast eine tolle Frisur! Warst du beim Friseur?,You have a great hairstyle! Have you been to the hairdresser?,,,,,,,,,,
Frist,deadline,"die Frist, -en",Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.,The deadline for registering for the German course has expired.,,,,,,,,,,
Frucht,fruit,"die Frucht, ¨-e",Welche Früchte kann man essen?,Which fruits can you eat?,,,,,,,,,,
Frühstück,breakfast,"das Frühstück, -e",Wir sitzen gerade beim Frühstück.,We are sitting down to breakfast.,Sollen wir Ihnen das Frühstück aufs Zimmer bringen?,Would you like us to bring breakfast to your room?,,,,,,,,
Führerausweis,driver's license,"der Führerausweis, -e (CH) 
→ D, A: Führerschein",Hast du einen Führerausweis?,Do you have a driver's license?,,,,,,,,,,
Führerschein,driver's license,"der Führerschein, -e (D, A) 
→ CH: Führerausweis",Hast du einen Führerschein?,Do you have a driver's license?,Ich habe vor einem halben Jahr den Führerschein gemacht.,I got my driver's license six months ago.,,,,,,,,
Führung,"guide, lead, management","die Führung, -en",Die nächste Führung beginnt um 15 Uhr.,The next guided tour starts at 3 pm.,Bayern München liegt in Führung.,Bayern Munich is in the lead.,,,,,,,,
Fundbüro,lost and found office,"das Fundbüro, -s",Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.,You have lost your umbrella. The best place to ask is the lost and found office.,,,,,,,,,,
Fuß,foot,"der Fuß, ¨-e",Er hat sich den linken Fuß gebrochen.,He has broken his left foot.,Sind Sie zu Fuß gekommen?,Did you come on foot?,,,,,,,,
Fußball,soccer,"der Fußball, ¨-e",Spielt ihr gerne Fußball?,Do you like playing soccer?,Jonas wünscht sich zu Weihnachten einen neuen Fußball.,Jonas wants a new soccer for Christmas.,,,,,,,,
"Fußgänger, Fußgängerin",pedestrian,"der Fußgänger, - 
die Fußgängerin, -nen",Dieser Weg ist nur für Fußgänger.,This path is for pedestrians only.,,,,,,,,,,
Fußgängerzone,pedestrian zone,"die Fußgängerzone, -n",Wir treffen uns um 15 Uhr in der Fußgängerzone.,We meet at 3 p.m. in the pedestrian zone.,,,,,,,,,,
Gabel,fork,"die Gabel, -n",Wir brauchen bitte noch eine Gabel.,"We need another fork, please.",,,,,,,,,,
Galerie,gallery,"die Galerie, -n",Diese Galerie ist sehr interessant.,This gallery is very interesting.,,,,,,,,,,
Gang,"corridor, gear course","der Gang, ¨-e","Wir warten draußen im Gang. ( ? D, CH: Korridor; D: Flur)",We wait outside in the corridor.,Schalten Sie bitte jetzt in den dritten Gang.,Please shift into third gear now.,Was möchten Sie als ersten Gang? Suppe oder Salat?,What would you like as a first course? Soup or salad?,,,,,,
Garage,garage,"die Garage, -n",Hier ist eine Garage zu vermieten.,A garage is for rent here.,,,,,,,,,,
Garantie,"guarantee, warranty","die Garantie, -n",Auf die Waschmaschine haben Sie ein Jahr Garantie.,You have a one-year guarantee on the washing machine.,,,,,,,,,,
Garderobe,wardrobe,"die Garderobe, -n",Die Mäntel bitte an der Garderobe abgeben.,Please hand in your coats at the checkroom.,"Bitte, achten Sie auf Ihre Garderobe.",Please take care of your wardrobe.,,,,,,,,
Garten,garden,"der Garten, ¨-",Wir haben einen schönen großen Garten.,We have a beautiful large garden.,,,,,,,,,,
Gas,gas,"das Gas, -e",Wir kochen mit Gas.,We cook with gas.,Gib Gas! Die Ampel ist grün.,Step on the gas! The traffic light is green.,,,,,,,,
Gast,guest,"der Gast, ¨-e",Wir haben heute Abend Gäste.,We have guests tonight.,Der Gast hat sich über das Essen beschwert.,The guest complained about the food.,,,,,,,,
Gasthaus,"inn, restaurant","das Gasthaus, ¨-er (A)",Gehen wir noch in ein Gasthaus ein Bier trinken?,Shall we go to a pub for a beer?,,,,,,,,,,
Gaststätte,restaurant,"die Gaststätte, -n (D)",Ich arbeite seit einem Monat in einer Gaststätte.,I have been working in a restaurant for a month.,,,,,,,,,,
Gebäude,building,"das Gebäude, -",In diesem Gebäude sind nur Büros.,There are only offices in this building.,,,,,,,,,,
Gebäck,pastry,"das Gebäck, -e",Das Gebäck ist ganz frisch.,The pastries are very fresh.,,,,,,,,,,
Gebiet,"area, field","das Gebiet, -e",In diesem Gebiet gibt es kaum Industrie.,There is hardly any industry in this area.,Die Zeitschrift berichtet regelmäßig über Fortschritte auf dem Gebiet der Medizin.,The journal regularly reports on advances in the field of medicine.,,,,,,,,
Gebirge,"mountains, mountain range","das Gebirge, -",Wir haben unseren Urlaub im Gebirge verbracht.,We spent our vacation in the mountains.,,,,,,,,,,
Gebrauchsanweisung,"instructions for use, manual","die Gebrauchsanweisung, -en",Lesen Sie bitte zuerst die Gebrauchsanweisung.,Please read the instructions for use first.,,,,,,,,,,
Gebühr,fee,"die Gebühr, -en",Die Gebühr liegt bei 60 Euro.,The fee is 60 euros.,,,,,,,,,,
Geburt,birth,"die Geburt, -en",Wir gratulieren zur Geburt eures Kindes!,Congratulations on the birth of your child!,,,,,,,,,,
Geburtstag,birthday,"der Geburtstag, -e",Herzlichen Glückwunsch zum Geburtstag!,Happy birthday to you!,,,,,,,,,,
Gedicht,poem,"das Gedicht, -e",Kennst du ein schönes Gedicht?,Do you know a nice poem?,,,,,,,,,,
Geduld,patience,die Geduld (Sg.),Bitte haben Sie etwas Geduld.,Please be patient.,,,,,,,,,,
Gefahr,danger,"die Gefahr, -en",Betreten der Baustelle auf eigene Gefahr.,Enter the construction site at your own risk.,,,,,,,,,,
Gefängnis,prison,"das Gefängnis, -se",Er wurde zu fünf Jahren Gefängnis verurteilt.,He was sentenced to five years in prison.,,,,,,,,,,
Gefühl,feeling,"das Gefühl, -e","Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl.",I think I'll pass the exam. I have a good feeling.,,,,,,,,,,
Gegner,opponent,"der Gegner, -",Sie ist eine Gegnerin von Tierversuchen.,She is an opponent of animal testing.,Die Mannschaft aus Frankreich war ein sehr starker Gegner.,The team from France was a very strong opponent.,,,,,,,,
Gegend,"region, area","die Gegend, -en",Der Schwarzwald ist eine sehr schöne Gegend.,The Black Forest is a very beautiful region.,Die Schule muss hier in der Gegend sein.,The school must be in the area.,,,,,,,,
Gegensatz,contrast,"der Gegensatz, ¨-e",Diese beiden Meinungen stehen in starkem Gegensatz zueinander.,These two opinions are in stark contrast to each other.,Im Gegensatz zu ihm ist sein Vater ziemlich klein.,"In contrast to him, his father is quite small.",,,,,,,,
Gegenstand,object,"der Gegenstand, ¨-e",Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein.,I prefer to lock my personal belongings in a compartment in the swimming pool.,Eine Durchsage der Polizei: Auf der A8 liegen Gegenstände auf der Fahrbahn.,An announcement from the police: There are objects lying on the road on the A8.,,,,,,,,
Gegenteil,opposite,"das Gegenteil, -e",Das Gegenteil von „klein“ ist „groß“.,"The opposite of ""small"" is ""large"".",Sie ist das genaue Gegenteil von ihrem Bruder.,She is the exact opposite of her brother.,"Du bist sicher müde. – Nein, ganz im Gegenteil!","You must be tired - no, quite the opposite!",,,,,,
Gehalt,salary,"das Gehalt, ¨-er",Ich bin mit meinem Gehalt zufrieden.,I am happy with my salary.,,,,,,,,,,
Geheimnis,"secret, mystery","das Geheimnis, -se",Das kann ich dir nicht sagen. Das ist ein Geheimnis.,I can't tell you that. It's a secret.,,,,,,,,,,
Gehsteig,sidewalk,"der Gehsteig, -e (D, A) 
→ CH: Trottoir",Das Fahrradfahren auf dem Gehsteig ist nicht erlaubt.,Cycling on the sidewalk is not permitted.,,,,,,,,,,
Geld,money,"das Geld, -er",Ich habe nicht genug Geld dabei.,I don't have enough money with me.,Sie haben mir zu viel Wechselgeld gegeben.,They gave me too much change.,,,,,,,,
Geldautomat,cash machine,"der Geldautomat, -en (D) 
→ A, CH: Bancomat/Bankomat",Ich hole noch Geld vom Geldautomaten.,I get some money from the ATM.,,,,,,,,,,
Geldbörse,"purse, wallet","die Geldbörse, -n (A) 
→ Brieftasche; D, CH: Portemonnaie/Portmonee",Ich habe nur Kleingeld in meiner Geldbörse.,I only have small change in my wallet.,,,,,,,,,,
Gelegenheit,opportunity,"die Gelegenheit, -en","Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen.",The festival is a good opportunity to see our friends.,,,,,,,,,,
Gemeinschaft,community,"die Gemeinschaft, -en",Rauchen ist in den Gemeinschafts-räumen nicht erlaubt.,Smoking is not permitted in the communal areas.,,,,,,,,,,
Gemüse,vegetables,"das Gemüse, -e",Wir kaufen das Gemüse direkt beim Bauern.,We buy the vegetables directly from the farmer.,,,,,,,,,,
Generation,generation,"die Generation, -en",In diesem Haus wohnen drei Generationen zusammen.,Three generations live together in this house.,,,,,,,,,,
Gepäck,luggage,das Gepäck (Sg.),Ich habe mein Gepäck am Bahnhof gelassen.,I left my luggage at the station.,,,,,,,,,,
Gerät,device,"das Gerät, -e",Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.,I always buy my electrical appliances second-hand. It's much cheaper.,,,,,,,,,,
Gericht,"court, dish","das Gericht, -e",Ich habe heute Vormittag einen Termin beim Gericht.,I have an appointment with the court this morning.,Mein Lieblingsgericht ist Pizza.,My favorite dish is pizza.,,,,,,,,
Geschäft,business,"das Geschäft, -e",Die Geschäfte schließen um 18.30 Uhr.,The stores close at 6.30 pm.,"Wissen Sie, wo hier ein Schuhgeschäft ist?",Do you know where there is a shoe store here?,,,,,,,,
Geschenk,gift,"das Geschenk, -e",Vielen Dank für das Geschenk.,Thank you very much for the gift.,,,,,,,,,,
Geschichte,"history, story","die Geschichte, -n",Ich interessiere mich nicht für Geschichte.,I'm not interested in history.,Abends erzähle ich meinen Kindern immer eine Geschichte.,I always tell my children a story in the evening.,,,,,,,,
Geschirr,"tableware, dishes","das Geschirr, -e",Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.,I need crockery for twelve people for the birthday party.,,,,,,,,,,
Geschlecht,gender,"das Geschlecht, -er",Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.,"Please mark with a cross: ""Gender: female/male"".",,,,,,,,,,
Geschmack,"taste, flavor","der Geschmack, ""-e/""-er",Ich möchte bitte Kaugummi mit Erdbeergeschmack.,"I would like strawberry-flavored chewing gum, please.",,,,,,,,,,
Geschwindigkeit,speed,"die Geschwindigkeit, -en",Das Auto fuhr mit zu hoher Geschwindigkeit.,The car was traveling at too high a speed.,,,,,,,,,,
Geschwindigkeitsbeschränkung,speed limit,"die Geschwindigkeitsbeschränkung, -en",Bitte beachten Sie die Geschwindigkeitsbeschränkungen.,Please observe the speed limits.,,,,,,,,,,
Geschwister,siblings,die Geschwister (Pl.),Die Geschwister sehen sich nur selten.,The siblings rarely see each other.,,,,,,,,,,
Gesellschaft,"society, company","die Gesellschaft, -en",Er will die Gesellschaft verändern.,He wants to change society.,Meine Frau arbeitet bei einer Versicherungsgesellschaft.,My wife works for an insurance company.,Ich fühle mich in großer Gesellschaft wohl.,I feel comfortable in good company.,,,,,,
Gesetz,law,"das Gesetz, -e",Das Parlament hat ein neues Gesetz beschlossen.,Parliament has passed a new law.,,,,,,,,,,
Gesicht,face,"das Gesicht, -er",Wasch dir bitte das Gesicht.,Please wash your face.,Mach doch kein so trauriges Gesicht!,Don't make such a sad face!,,,,,,,,
Gespräch,conversation,"das Gespräch, -e",Herr Müller ist gerade in einem Gespräch.,Mr. Müller is currently in a conversation.,Ich erwarte ein Gespräch aus Berlin.,I am expecting a conversation from Berlin.,,,,,,,,
Gesundheit,health,die Gesundheit (Sg.),Sie müssen mehr auf Ihre Gesundheit achten.,You need to pay more attention to your health.,Gesundheit! Sind Sie erkältet?,Health! Do you have a cold?,,,,,,,,
Getränk,beverage,"das Getränk, -e",Besorgst du bitte die Getränke?,"Can you get the drinks, please?",Bitte die Getränkekarte!,The drinks menu please!,Mein Lieblingsgetränk ist Tomatensaft.,My favorite drink is tomato juice.,,,,,,
Gewalt,"force, violence","die Gewalt, -en","Ich mag keine Filme, in denen Gewalt vorkommt.",I don't like movies with violence in them.,Die Tür ließ sich nur mit Gewalt öffnen.,The door could only be opened by force.,,,,,,,,
Gewerkschaft,(trade) union,"die Gewerkschaft, -en",Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.,The trade union represents the interests of employees.,,,,,,,,,,
Gewicht,weight,"das Gewicht, -e",Wie teuer ist das Päckchen? – Das hängt vom Gewicht ab.,How much does the parcel cost? - That depends on the weight.,Sie dürfen Gepäck bis zu einem Gewicht von 15 kg mitnehmen.,You may take luggage weighing up to 15 kg with you.,,,,,,,,
Gewinn,"profit, prize","der Gewinn, -e",Ich habe bei einem Ratespiel mitgemacht. Der Hauptgewinn ist ein Auto.,I took part in a guessing game. The main prize is a car.,,,,,,,,,,
Gewissen,conscience,das Gewissen (Sg.),Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.,I forgot your birthday. I have a very guilty conscience.,,,,,,,,,,
Gewitter,thunderstorm,"das Gewitter, -",Es wird gleich ein Gewitter geben.,There's going to be a thunderstorm soon.,,,,,,,,,,
Gewohnheit,habit,"die Gewohnheit, -en","Er hat die Gewohnheit, morgens zuerst die Post zu erledigen.",He has a habit of doing the post first thing in the morning.,Aus alter Gewohnheit treffen wir uns jeden Samstagabend.,We meet every Saturday evening out of old habit.,,,,,,,,
Gewürz,spice,"das Gewürz, -e",Von den scharfen Gewürzen bekommt man Durst.,The hot spices make you thirsty.,,,,,,,,,,
Gift,poison,"das Gift, -e","Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!","Caution, the poison of this plant is dangerous for humans!",,,,,,,,,,
Gitarre,guitar,"die Gitarre, -n",Ich spiele seit drei Jahren Gitarre.,I've been playing guitar for three years.,,,,,,,,,,
Glas,glass,"das Glas, ¨-er","Vorsicht, die Kanne ist aus Glas!","Be careful, the jug is made of glass!",Eine Flasche Mineralwasser und zwei Gläser bitte!,A bottle of mineral water and two glasses please!,Ein Glas Bier bitte.,A glass of beer please.,,,,,,
Gleis,"track, platform","das Gleis, -e",Der Zug fährt heute von Gleis 7 ab.,The train departs from platform 7 today.,,,,,,,,,,
Glück,"happiness, luck","das Glück, -e",Du hast dich nicht verletzt. Da hast du Glück gehabt.,You didn't hurt yourself. You were lucky.,Viel Glück bei der Prüfung!,Good luck with the exam!,Es hat geregnet. Zum Glück hatte ich einen Regenschirm dabei.,It was raining. Luckily I had an umbrella with me.,,,,,,
Glückwunsch,congratulations,"der Glückwunsch, ¨-e",Herzlichen Glückwunsch zum Geburtstag!,Happy birthday to you!,,,,,,,,,,
Gold,gold,das Gold (Sg.),"Ist der Ring aus Gold? Nein, der sieht nur so aus.","Is the ring made of gold? No, it just looks like it.",,,,,,,,,,
Gott,god,"der Gott, ¨-er",Glaubst du an Gott?,Do you believe in God?,Gott sei Dank ist ihm nichts passiert.,Thank God nothing happened to him.,,,,,,,,
Grafik,graphic,"die Grafik, -en",Die Grafik zeigt die Temperaturen im letzten Jahr.,The graph shows the temperatures last year.,,,,,,,,,,
Gras,grass,"das Gras, ""-er",Wir lagen den ganzen Tag im Gras.,We lay in the grass all day.,,,,,,,,,,
Gratulation,congratulations,"die Gratulation, -en",Herzliche Gratulation! Sie haben gewonnen!,Congratulations! You have won!,,,,,,,,,,
Grenze,"border, boundary","die Grenze, -n",An der Grenze musst du deinen Ausweis zeigen.,You must show your ID at the border.,,,,,,,,,,
Grill,grill,"der Grill, -s",Kannst du mir deinen Grill leihen? Wir wollen am Wochenende ein Picknick machen.,Can you lend me your barbecue? We want to have a picnic at the weekend.,,,,,,,,,,
Grippe,flu,"die Grippe, -n",Ich habe eine Grippe und kann leider nicht kommen.,I have the flu and unfortunately I can't come.,,,,,,,,,,
Größe,size,"die Größe, -n",Welche Größe haben Sie?,What size are you?,Größe: 170 cm,Size: 170 cm,Haben Sie das Hemd auch in Größe 40?,Do you also have the shirt in size 40?,,,,,,
Grund,"reason, ground","der Grund, ¨-e",Sie haben Ihre Stelle gekündigt. Aus welchem Grund?,You have resigned from your job. For what reason?,"Sie haben keinen Grund, sich zu beschweren.",You have no reason to complain.,,,,,,,,
Grundstück,"property, land","das Grundstück, -e",Wir wollen ein Haus bauen und suchen ein günstiges Grundstück.,We want to build a house and are looking for an inexpensive plot of land.,,,,,,,,,,
Gruppe,group,"die Gruppe, -n",Für Gruppen gibt es eine Ermäßigung.,There is a discount for groups.,,,,,,,,,,
Gruß,greetings,"der Gruß, ¨-e",Schönen Gruß an Ihren Mann.,Best regards to your husband.,Viele Grüße an Ihre Frau.,Many greetings to your wife.,Mit freundlichen Grüßen,Yours sincerely,,,,,,
Gymnastik,gymnastics,die Gymnastik (Sg.),Ich mache jeden Morgen Gymnastik.,I do gymnastics every morning.,,,,,,,,,,
Haar,hair,"das Haar, -e",Meine Freundin hat langes schwarzes Haar.,My girlfriend has long black hair.,Die Haare unseres Hundes liegen überall in der Wohnung.,Our dog's hair is everywhere in the apartment.,,,,,,,,
Hackfleisch,minced meat,"das Hackfleisch (Sg.) (D, CH) 
→ A: Faschierte",Geben Sie mir bitte 500g Hackfleisch.,Please give me 500g of minced meat.,,,,,,,,,,
Hafen,"port, harbor","der Hafen, ¨-","Wenn du in Hamburg bist, musst du dir unbedingt den Hafen ansehen.","If you're in Hamburg, you absolutely have to visit the harbor.",,,,,,,,,,
Hähnchen/Hühnchen,chicken,"das Hähnchen/Hühnchen, - (D) 
→ A: Hend(e)l; Poulet, -s (CH)",Zum Mittagessen gibt es Hühnchen mit Reis.,For lunch we have chicken with rice.,,,,,,,,,,
Halbpension,half board,"die Halbpension, -en",Wir möchten ein Hotel mit Halbpension.,We would like a hotel with half board.,,,,,,,,,,
Hälfte,half,"die Hälfte, -n",Bitte teilt euch die Schokolade. Jeder bekommt die Hälfte.,Please share the chocolate. Everyone gets half.,Die Hälfte vom Urlaub ist schon vorbei.,Half of the vacation is already over.,Was hat der Mann gesagt? Ich habe nur die Hälfte verstanden.,What did the man say? I only understood half of it.,,,,,,
Halle,hall,"die Halle, -n",Die Stadt baut eine neue Sporthalle.,The city is building a new sports hall.,,,,,,,,,,
Hallenbad,indoor swimming pool,"das Hallenbad, ¨-er",Sie geht jeden Tag zum Schwimmen ins Hallenbad.,She goes swimming in the indoor pool every day.,,,,,,,,,,
Hals,"throat, neck","der Hals, ¨-e",Mir tut der Hals weh.,My throat hurts.,Ich habe seit gestern Halsschmerzen.,I have had a sore throat since yesterday.,,,,,,,,
Halt,stop,"der Halt, -e",Nächster Halt ist am Südbahnhof.,The next stop is at Südbahnhof.,,,,,,,,,,
Haltestelle,stop,"die Haltestelle, -n",An der nächsten Haltestelle müssen wir aussteigen.,We have to get off at the next stop.,,,,,,,,,,
Hammer,hammer,"der Hammer, ¨-",Ich möchte ein Bild aufhängen. Hast du einen Hammer für mich?,I would like to hang up a picture. Do you have a hammer for me?,,,,,,,,,,
Hand,hand,"die Hand, ¨-e",Wasch dir bitte die Hände vor dem Essen.,Please wash your hands before eating.,Gib mir bitte deine Hand. Wir gehen jetzt über die Straße.,Please give me your hand. We're crossing the road now.,,,,,,,,
"Handwerker, Handwerkerin",craftsman,"der Handwerker, - 
die Handwerkerin, -nen",Morgen sind bei uns die Handwerker. Wir bekommen eine neue Badewanne.,The workmen will be here tomorrow. We're getting a new bathtub.,,,,,,,,,,
Handel,trade,der Handel (Sg.),Der Handel mit Computern ist ein gutes Geschäft.,Trading in computers is good business.,,,,,,,,,,
"Händler, Händlerin","dealer, trader","der Händler, - 
die Händlerin, -nen","Ich gehe zum Gemüsehändler, soll ich dir etwas mitbringen?","I'm going to the greengrocer, should I bring you something?",,,,,,,,,,
Handy,cell phone,"das Handy, -s","Ich habe kein Festnetztelefon, aber ein Handy.","I don't have a landline phone, but I do have a cell phone.",Soll ich Ihnen meine Handynummer geben?,Shall I give you my cell phone number?,,,,,,,,
Hauptstadt,capital city,"die Hauptstadt, ¨-e",Berlin ist die Hauptstadt von Deutschland.,Berlin is the capital of Germany.,,,,,,,,,,
Hauptbahnhof,central (train) station,"der Hauptbahnhof, ¨-e",Treffen wir uns am Hauptbahnhof?,Shall we meet at the main station?,,,,,,,,,,
Haus,house,"das Haus, ¨-er",Wir haben ein Haus gemietet.,We have rented a house.,Ich komme gerade von zu Hause.,I've just come from home.,Ich muss jetzt nach Hause.,I have to go home now.,Paul ist nicht zu Hause.,Paul is not at home.,,,,
Hausaufgabe,homework,"die Hausaufgabe, -n",Kannst du mir bei den Hausaufgaben helfen?,Can you help me with my homework?,,,,,,,,,,
"Hausfrau, Hausmann","housewife, househusband","die Hausfrau, -en
der Hausmann, ¨-er",ne Frau ist Hausfrau und kümmert sich um die Kinder.,ne wife is a housewife and looks after the children.,n Mann ist Hausmann und kümmert sich um die Kinder.,n husband is a househusband and looks after the children.,,,,,,,,
Haushalt,household,"der Haushalt, -e","Ich kümmere mich um den Haushalt, d. h. ich putze, wasche, koche etc.","I take care of the household, i.e. I clean, wash, cook, etc.",,,,,,,,,,
"Hausmeister, Hausmeisterin","caretaker, janitor","der Hausmeister, - 
die Hausmeisterin, -nen (D, A) 
→ CH: Abwart","Der Hausmeister hat mir geholfen, den Schrank in die Wohnung zu tragen.",The janitor helped me carry the cupboard into the apartment.,,,,,,,,,,
Haut,skin,"die Haut, ""-e",Haben Sie eine Creme für trockene Haut?,Do you have a cream for dry skin?,,,,,,,,,,
Heft,notebook,"das Heft, -e",Ich hätte gern ein Schreibheft.,I would like a notebook.,,,,,,,,,,
Heim,home,"das Heim, -e",Meine Oma wohnt in einem Seniorenheim.,My grandma lives in a retirement home.,,,,,,,,,,
Heimat,home,"die Heimat, -en",Ich lebe jetzt hier in Deutschland. Das ist meine neue Heimat.,I now live here in Germany. This is my new home.,,,,,,,,,,
Heimweh,homesickness,"das Heimweh, -e",Ich habe oft Heimweh nach meiner Familie.,I often feel homesick for my family.,,,,,,,,,,
Heizung,heating,"die Heizung, -en",Es ist kalt. Ist die Heizung kaputt?,It's cold. Is the heating broken?,,,,,,,,,,
"Held, Heldin",hero,"der Held, -en 
die Heldin, -nen",Er spielt gern den Helden.,He likes to play the hero.,Sie ist die Heldin des Tages.,She is the heroine of the day.,,,,,,,,
Hilfe,help,"die Hilfe, -n",Vielen Dank für Ihre Hilfe.,Thank you very much for your help.,"Haben Sie einen Kurs für Erste Hilfe gemacht? Das müssen Sie, wenn Sie den Führerschein machen wollen.",Have you done a first aid course? You must if you want to get your driver's license.,Hilfe! Jemand hat mir die Handtasche gestohlen. Bitte helfen Sie mir!,Help! Someone has stolen my handbag. Please help me!,,,,,,
Hemd,shirt,"das Hemd, -en",Nikos trägt heute ein weißes Hemd.,Nikos is wearing a white shirt today.,,,,,,,,,,
Hend(e)l,chicken,"das Hend(e)l, - (A) 
→ D: Hähnchen/Hühnchen; CH: Poulet",Zum Mittagessen gibt es Hendl mit Reis.,For lunch we have chicken with rice.,,,,,,,,,,
Herausforderung,challenge,"die Herausforderung, -en",Das Spiel ist eine Herausforderung.,The game is a challenge.,,,,,,,,,,
Herd,stove,"der Herd, -e",In der neuen Küche fehlt noch der Herd.,The stove is still missing in the new kitchen.,,,,,,,,,,
Herkunft,origin,"die Herkunft, ""-e",Viele Leute fragen mich nach meiner Herkunft.,Many people ask me about my origins.,,,,,,,,,,
Herr,"Mr., gentleman","der Herr, -en","Da ist ein Herr, der möchte Sie sprechen.",There is a gentleman who would like to speak to you.,"Guten Tag, Herr Müller!","Hello, Mr. Müller!",,,,,,,,
Hersteller,manufacturer,"der Hersteller, -",Ihr Handy ist kaputt? Wir schicken es an den Hersteller zurück und lassen es reparieren.,Is your cell phone broken? We'll send it back to the manufacturer and have it repaired.,,,,,,,,,,
Herz,heart,"das Herz, -en",Ich bin ganz nervös. Mir klopft das Herz.,I'm really nervous. My heart is pounding.,Wir müssen Ihr Herz untersuchen.,We need to examine your heart.,,,,,,,,
Himmel,sky,der Himmel (Sg.),Wir hatten im Urlaub so tolles Wetter. Immer Sonne und blauer Himmel.,We had such great weather on vacation. Always sunshine and blue skies.,,,,,,,,,,
Hinweise,"hints, clues, notes","der Hinweise, -e",Die Polizei hat viele Hinweise zum Unfall bekommen.,The police have received many tips about the accident.,,,,,,,,,,
Hitze,heat,"die Hitze, -n",Gestern war eine schreckliche Hitze!,Yesterday was a terrible heat!,,,,,,,,,,
Hobby,hobby,"das Hobby, -s",Ich habe keine Zeit mehr für meine Hobbys.,I no longer have time for my hobbies.,,,,,,,,,,
Höhe,height,"die Höhe, -n","Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m.","My table has the following dimensions: length: 1.20 m, width: 0.60 m, height: 0.80 m.",Wir fliegen jetzt in 6000 m Höhe.,We are now flying at an altitude of 6000 meters.,,,,,,,,
Hochzeit,wedding,"die Hochzeit, -en",Claudia und Peter wollen ihre Hochzeit groß feiern.,Claudia and Peter want to celebrate their wedding in style.,Zu dieser Hochzeit kommen mehr als fünfzig Gäste.,More than fifty guests attend this wedding.,,,,,,,,
Hof,"court, yard","der Hof, ¨-e",Die Kinder spielen am liebsten im Hof.,The children prefer to play in the courtyard.,,,,,,,,,,
Bauernhof,farm,"der Bauernhof, ¨-e",Meine Großeltern hatten einen Bauernhof.,My grandparents had a farm.,,,,,,,,,,
Hoffnung,hope,"die Hoffnung, -en",Man darf die Hoffnung nicht verlieren.,We must not lose hope.,,,,,,,,,,
Holz,wood,"das Holz, ""-er",Möchten Sie ein Regal aus Holz oder aus Metall?,Would you like a wooden or metal shelf?,,,,,,,,,,
Honig,honey,der Honig (Sg.),Ich esse gern Brötchen mit Honig und Butter zum Frühstück.,I like to eat bread rolls with honey and butter for breakfast.,,,,,,,,,,
"Hörer, Hörerin",listener,"der Hörer, -
die Hörerin, -nen",Die Sendung hat viele Hörer und Hörerinnen.,The program has many listeners.,,,,,,,,,,
Hose,"trousers, pants","die Hose, -n",Können Sie die Hose etwas kürzer machen?,Can you make the pants a little shorter?,,,,,,,,,,
Hotel,hotel,"das Hotel, -s",Im Urlaub sind wir in einem Hotel am Meer.,We are on vacation in a hotel by the sea.,,,,,,,,,,
Hügel,hill,"der Hügel, -",Auf diesem Hügel machen wir eine Pause.,We take a break on this hill.,,,,,,,,,,
Humor,humor,"der Humor, -e","Wir mögen Paul, weil er so viel Humor hat.",We like Paul because he has such a great sense of humor.,Den Humor des Komikers verstehe ich nicht.,I don't understand the comedian's sense of humor.,,,,,,,,
Hunger,hunger,der Hunger (Sg.),"Möchtest du Suppe? – Nein danke, ich habe keinen Hunger.","Would you like some soup? - No thanks, I'm not hungry.",,,,,,,,,,
Husten,cough,der Husten (Sg.),Haben Sie ein Medikament gegen Husten?,Do you have a cough medicine?,,,,,,,,,,
Hut,hat,"der Hut, ¨-e",Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.,You should not go out in the sun in summer without a hat.,,,,,,,,,,
